tag correlation,stemming techniques,correlation value,p value
tags,none,0.253115097544,5.54962527121e-19
emoticons,none,0.0603137546699,0.0367814295545
ellipses,none,0.329450516456,9.52220306248e-32
tags,Lancaster,0.271008471776,1.25202689493e-21
emoticons,Lancaster,0.0472057397194,0.102305220895
ellipses,Lancaster,0.305980408217,2.10253337802e-27
tags,Porter,0.259662864455,6.29955281991e-20
emoticans,Porter,0.0816922322389,0.00464747172534
ellipses,Porter,0.370706374752,2.32535866293e-40
